text,domain
当前哪些机组实时污染物排放超标？,pollution
过去24小时有哪些机组发生污染物小时浓度超标？,pollution
过去24小时单位发电量对应的污染物排放量排名最低的三台机组是哪三个？,pollution
分析江苏省燃煤机组2024年污染物排放趋势,analysis
总结江苏省2024年12月发电情况,summary
盐城2024年11月燃煤、燃气、风电、光电负荷趋势,load
南京2023年各季度污染物排放情况对比,comparison
江苏省2024年各地区发电量排名,ranking
无锡市2024年1月至6月SO2排放趋势,trend
常州电厂2024年脱硫效率分析,efficiency
苏州地区风电场2024年发电量统计,statistics
镇江2024年重污染天气期间电厂排放情况,emergency
泰州2024年各机组单位发电量污染物排放对比,comparison
徐州2024年煤电机组与气电机组排放对比,comparison
连云港2024年风电装机容量变化,capacity
淮安地区2024年光伏发电量月度变化,trend
宿迁2024年各季度用电负荷分析,load
江苏省2024年新能源发电占比分析,proportion
南京地区2024年重大活动期间污染物排放变化,event
苏州2024年环保政策实施前后排放对比,policy
