date,title,source,content,url,keywords
2024-01-01,关于推进燃煤电厂超低排放改造的指导意见,工业和信息化部,为贯彻《国务院关于印发大气污染防治行动计划的通知》，大力推进燃煤电厂超低排放改造，制定本指导意见。到2020年，全省所有具备改造条件的燃煤电厂力争实现超低排放。,http://example.com/policy/2024/01/01/2487.html,"碳达峰,脱硝,减排"
2024-01-17,关于加强重污染天气应急管控的通知,南京市生态环境局,为进一步做好重污染天气应对工作，减轻重污染天气影响，保障人民群众身体健康，现就加强重污染天气应急管控有关事项通知如下。,http://example.com/policy/2024/01/17/3349.html,"环保,碳达峰,脱硫"
2024-01-29,关于进一步加强电力行业污染物排放控制的通知,无锡市生态环境局,为贯彻落实《中华人民共和国大气污染防治法》，进一步控制电力行业污染物排放，改善环境空气质量，现就有关事项通知如下：一、严格控制新建燃煤电厂。二、加快现役燃煤电厂超低排放改造。三、强化监督管理。,http://example.com/policy/2024/01/29/9801.html,"脱硝,碳中和,大气污染"
2024-02-15,关于加强工业炉窑大气污染综合治理的通知,国家发改委,为加强工业炉窑大气污染综合治理，提高环境空气质量，制定本通知。各地要全面排查工业炉窑，加大淘汰力度，加快治理步伐。,http://example.com/policy/2024/02/15/7182.html,"能源结构,除尘,污染物"
2024-02-22,关于加强工业炉窑大气污染综合治理的通知,南京市生态环境局,为加强工业炉窑大气污染综合治理，提高环境空气质量，制定本通知。各地要全面排查工业炉窑，加大淘汰力度，加快治理步伐。,http://example.com/policy/2024/02/22/3686.html,"碳达峰,新能源,脱硫"
2024-02-25,环保设施和排放口规范化整治实施方案,工业和信息化部,为进一步规范排污单位环保设施和排放口设置，加强污染物排放监管，根据有关法律法规，制定本实施方案。,http://example.com/policy/2024/02/25/8989.html,"减排,大气污染,电力"
2024-03-10,关于进一步加强电力行业污染物排放控制的通知,工业和信息化部,为贯彻落实《中华人民共和国大气污染防治法》，进一步控制电力行业污染物排放，改善环境空气质量，现就有关事项通知如下：一、严格控制新建燃煤电厂。二、加快现役燃煤电厂超低排放改造。三、强化监督管理。,http://example.com/policy/2024/03/10/2843.html,"可再生能源,超低排放,减排"
2024-04-07,关于加强重污染天气应急管控的通知,江苏省发改委,为进一步做好重污染天气应对工作，减轻重污染天气影响，保障人民群众身体健康，现就加强重污染天气应急管控有关事项通知如下。,http://example.com/policy/2024/04/07/8742.html,"减排,清洁能源,可再生能源"
2024-04-16,江苏省大气污染防治条例实施细则,苏州市人民政府,为了防治大气污染，保护和改善环境，保障公众健康，推进生态文明建设，促进经济社会可持续发展，根据《中华人民共和国大气污染防治法》《江苏省大气污染防治条例》，制定本实施细则。,http://example.com/policy/2024/04/16/2922.html,"可再生能源,污染物,清洁能源"
2024-06-14,关于加强工业炉窑大气污染综合治理的通知,国家发改委,为加强工业炉窑大气污染综合治理，提高环境空气质量，制定本通知。各地要全面排查工业炉窑，加大淘汰力度，加快治理步伐。,http://example.com/policy/2024/06/14/8005.html,"碳达峰,能源结构,大气污染"
2024-06-22,环保设施和排放口规范化整治实施方案,无锡市生态环境局,为进一步规范排污单位环保设施和排放口设置，加强污染物排放监管，根据有关法律法规，制定本实施方案。,http://example.com/policy/2024/06/22/1449.html,"污染物,可再生能源,清洁能源"
2024-07-04,江苏省大气污染防治条例实施细则,苏州市人民政府,为了防治大气污染，保护和改善环境，保障公众健康，推进生态文明建设，促进经济社会可持续发展，根据《中华人民共和国大气污染防治法》《江苏省大气污染防治条例》，制定本实施细则。,http://example.com/policy/2024/07/04/2275.html,"碳中和,清洁能源,可再生能源"
2024-07-14,关于加强工业炉窑大气污染综合治理的通知,无锡市生态环境局,为加强工业炉窑大气污染综合治理，提高环境空气质量，制定本通知。各地要全面排查工业炉窑，加大淘汰力度，加快治理步伐。,http://example.com/policy/2024/07/14/7555.html,"超低排放,脱硝,减排"
2024-07-31,江苏省大气污染防治条例实施细则,江苏省生态环境厅,为了防治大气污染，保护和改善环境，保障公众健康，推进生态文明建设，促进经济社会可持续发展，根据《中华人民共和国大气污染防治法》《江苏省大气污染防治条例》，制定本实施细则。,http://example.com/policy/2024/07/31/5291.html,"大气污染,环保,脱硝"
2024-08-29,电力行业碳达峰碳中和实施方案,苏州市人民政府,为贯彻落实党中央、国务院关于碳达峰碳中和的重大战略决策，推动电力行业绿色低碳转型，制定本实施方案。到2025年，可再生能源发电量占比达到30%以上。,http://example.com/policy/2024/08/29/8635.html,"可再生能源,碳中和,环保"
